Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not applicable","Total",
"Frankston",484,8460,4749,7531,9148,9674,8943,9208,10459,10292,6705,5032,3235,3742,1522,25029,124210,
"Mornington Peninsula",522,9173,5592,8400,11970,12463,11682,10553,10712,10171,6978,5577,3996,5064,3756,26840,143450,
"Grampians",401,2641,2030,3724,5572,5672,4754,4511,4375,3656,2175,1530,989,1019,574,9827,53476,
"Mildura",252,2876,1791,3599,4793,4536,3831,3955,3909,3270,2007,1487,864,867,506,10231,48788,
"Murray River - Swan Hill",275,1949,1290,2417,3392,3358,2853,2833,2626,2258,1135,873,469,499,344,6621,33191,
"Campaspe",206,1898,1305,2250,3465,3266,2911,2788,2701,2459,1326,1022,623,647,352,6675,33888,
"Moira",178,1391,1013,1833,3007,2795,2269,2027,1987,1769,1008,736,468,412,284,5133,26291,
"Shepparton",330,3532,2226,3933,5056,4807,4462,4474,4552,4239,2535,1826,1114,1268,659,12660,57684,
"Glenelg - Southern Grampians",166,1785,1367,2432,3260,3222,2740,2515,2388,2228,1300,1064,746,895,411,5934,32459,
"Colac - Corangamite",281,1768,1432,2342,3287,3279,2962,2571,2833,2458,1404,964,582,599,464,6618,33849,
"Warrnambool",217,2392,1878,3032,3782,4046,3710,3640,3868,3519,2084,1562,1037,1115,696,9474,46043,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,22,
"No Usual Address (Vic.)",54,704,308,1022,687,659,422,383,361,333,185,123,88,127,76,747,6287,
"Capalaba",199,4584,2593,3715,4626,4576,4374,4940,5614,5731,3787,3275,1981,2830,1509,13859,68189,
"Cleveland - Stradbroke",274,5249,2961,4532,6364,6128,5566,5250,5591,5711,4005,3586,2248,3301,1985,15248,77997,
"Wynnum - Manly",180,4088,2205,3267,3962,4144,3837,4132,4840,5223,3646,3377,2366,3552,1915,14260,64993,
"Bald Hills - Everton Park",120,2633,1477,1835,2275,2305,2478,2461,2809,3309,2477,2184,1465,2191,1273,7593,38875,
"Chermside",220,4009,2117,3259,4018,4431,4180,4309,4919,5277,4024,3705,2491,3817,1909,12268,64957,
"Nundah",129,2327,1200,1852,2076,2253,2332,2561,3105,3250,2396,2146,1364,2017,866,6254,36133,
"Sandgate",192,3715,1893,2969,3701,4373,3746,3766,4378,4580,3105,2589,1637,2262,860,10942,54695,
"Carindale",139,3222,1779,2227,2651,2696,2753,2685,3393,3775,2754,2698,1916,3269,2109,9290,47354,
"Holland Park - Yeronga",221,4415,2121,3613,3938,4459,4223,4021,4797,5545,4163,3934,2796,4352,2795,10635,66010,
"Mt Gravatt",311,7270,2691,3962,4626,4338,4190,4175,4700,4935,3479,3233,2164,3104,1462,12634,67280,
"Nathan",168,3131,1337,2264,2525,2503,2313,2200,2527,2717,2048,1833,1253,1887,924,7014,36656,
"Rocklea - Acacia Ridge",307,5860,2124,3339,3482,3258,3233,3821,4473,4581,3010,2416,1507,1859,678,12604,56552,
"Sunnybank",321,6437,2042,3254,3215,3161,3203,3195,3427,3363,2081,1604,1067,1383,610,8864,47221,
"Centenary",106,2484,1337,1560,1546,1605,1759,1755,2037,2259,1834,1813,1251,2050,1156,6520,31075,
"Kenmore - Brookfield - Moggill",126,3787,2016,2169,1935,1936,2210,1965,2343,2767,2201,2236,1687,3242,3100,9525,43234,
"Sherwood - Indooroopilly",202,6293,2560,3248,2554,2626,3009,2383,2557,2985,2350,2376,1643,2922,2988,7518,48208,
"The Gap - Enoggera",105,3175,1811,2410,2472,2777,2716,2639,3065,3628,2936,2690,1961,3187,1663,10386,47618,
"Brisbane Inner",385,5791,1600,3154,3575,3885,3874,3767,4354,5164,4115,3774,2683,4590,3780,5430,59916,
"Brisbane Inner - East",118,2386,1169,1487,1600,1784,1824,2005,2555,3071,2441,2345,1733,3172,2963,7319,37971,
"Brisbane Inner - North",287,5835,2473,3605,3518,4344,4506,4567,5648,6608,5130,4965,3374,6195,5786,12544,79393,
"Brisbane Inner - West",177,3840,1843,2512,2399,2559,2893,2759,3274,3959,3084,3047,2200,4160,4307,9432,52443,
"Cairns - North",207,3361,1686,2290,2687,2797,3177,3452,3995,4059,2824,2539,1564,2097,1115,10867,48727,
"Cairns - South",427,5547,2880,5459,6307,6930,6874,7171,7788,6963,4262,3458,2170,2562,1216,20640,90649,
"Innisfail - Cassowary Coast",202,1692,1078,2650,3096,2969,2557,2669,2436,1977,1111,890,501,612,302,6728,31469,
"Port Douglas - Daintree",50,469,308,585,753,872,860,993,1086,877,396,353,183,209,161,1904,10065,
"Tablelands (East) - Kuranda",197,1984,1425,2794,3960,3495,3003,2862,2622,2207,1357,1122,638,791,402,7509,36377,
"Darling Downs (West) - Maranoa",385,2096,1245,2255,2981,2868,2746,2624,2897,3028,1903,1480,948,1325,769,9503,39054,
"Darling Downs - East",243,2232,1374,2506,3529,3322,2786,2790,2989,2733,1650,1284,766,1041,501,8849,38594,
"Granite Belt",211,1961,1422,2899,4246,3779,3188,3098,2796,2239,1229,965,536,570,322,7531,37002,
"Central Highlands (Qld)",150,1695,844,1268,1239,1285,1256,1356,1444,1644,1329,1075,917,1822,1068,7245,25637,
"Rockhampton",439,6985,3857,6910,8614,8471,7188,7207,7359,7332,4973,4150,2859,4245,1875,23431,105903,
"Biloela",114,826,464,693,794,851,828,847,841,888,557,505,417,874,373,3166,13042,
"Gladstone",336,5025,2164,3378,3649,3420,3070,2907,2883,3157,2531,2360,1995,4084,2235,13941,57135,
